stat_code,pred_con,pred_lon,pred_lat,test_lon,test_lat,distance_degree,distance_pixel,test_flux_1000,catalog,patch_number,pred_y,pred_x,class,test_y,test_x,test_lon_patch,test_lat_patch,probability,test_flux_10000,snr_center_pred,class_ps,snr_center_test,sbr_center_pred,sbr_center_test
0.0,0.0,212.997314453125,79.2684555053711,212.26178412486007,79.27868258436396,0.13727738060104525,0.0,3.605305829455835e-10,235.0,0.0,2.0,46.0,0.0,2.0,46.0,-135.0,84.14973293629666,0.9646630883216858,1.2165253985688506e-11,5.102273425572944,0.0,2.7876690660882497,2.350001680009905,2.350001680009905
0.0,1.0,207.155517578125,79.13909149169922,206.3436503925312,79.1624749856796,0.1545911299760832,0.0,4.66992181540589e-09,235.0,0.0,3.0,53.0,0.0,3.0,53.0,-135.0,84.14973293629666,0.9999340772628784,7.319382211233925e-10,80.88610635558118,0.0,13.075076481098028,37.27008126651637,37.27008126651637
0.0,2.0,200.43258666992188,78.98046875,200.42240355319362,78.90851371178209,0.07198152940518829,1.0,2.8276466143364037e-10,235.0,0.0,5.0,61.0,0.0,4.0,61.0,-135.0,84.14973293629666,0.6874476075172424,4.492563575806155e-12,4.067352639809758,0.0,2.404592185630677,1.8611510873194923,1.8611510873194923
0.0,3.0,199.57676696777344,81.15138244628906,198.91388767105815,81.05238904049358,0.14252095861780123,1.0,1.0604709717222927e-09,235.0,0.0,18.0,56.0,0.0,17.0,56.0,-135.0,84.14973293629666,0.9997641444206238,2.6733381948982022e-11,16.296624455615838,0.0,5.595882800013107,7.481215437258344,7.481215437258344
0.0,4.0,195.39605712890625,84.2208023071289,194.32400136132918,84.21142789318469,0.10844235255980049,0.0,4.523682353892482e-10,235.0,0.0,37.0,50.0,0.0,37.0,50.0,-135.0,84.14973293629666,0.9971858859062196,1.670539133500224e-11,5.547284539420319,0.0,2.9621174531111834,2.5071661087686263,2.5071661087686263
0.0,5.0,200.7244415283203,85.34188842773438,197.37672069349412,85.43903345481615,0.28599082987991903,1.4142135623730951,3.9223136229665e-10,235.0,0.0,42.0,44.0,0.0,43.0,45.0,-135.0,84.14973293629666,0.9964162111282348,9.753412473119956e-11,2.7450757116559177,0.0,3.5323940366931774,1.2673712515786513,3.4048650944299204
0.0,6.0,226.7758636474609,86.21823120117188,223.62148252860808,86.36691844703303,0.2523557901324591,1.0,1.5957351749218832e-10,235.0,0.0,45.0,31.0,0.0,45.0,32.0,-135.0,84.14973293629666,0.8408907651901245,1.4342688880659766e-12,1.3060471951428456,0.0,1.7607718240688743,0.6186241988139358,1.2493862378241254
0.0,7.0,203.4172821044922,88.62376403808594,194.02901450892503,88.70712504932767,0.23367904647026871,1.0,5.544186914222747e-10,235.0,0.0,61.0,35.0,0.0,61.0,36.0,-135.0,84.14973293629666,0.9983671307563782,1.5670311512365938e-11,8.167659442187064,0.0,3.186040819054087,3.8708816059541076,3.0194693276011217
1.0,8.0,289.98899078369135,78.42436218261719,342.49314076913384,82.61270554305541,9.164962791309051,59.50630218724736,1.3506647855699336e-10,235.0,1.0,2.0,63.0,2.0,27.0,9.0,-45.0,84.14973293629666,0.21292737126350406,2.118628549713216e-11,1.8773863103402542,0.0,0.7325154116205693,0.7520973676746864,0.3663023081211106
0.0,9.0,342.3436851501465,82.58554077148438,342.49314076913384,82.61270554305541,0.033294795085879174,1.0,1.3506647855699336e-10,235.0,1.0,27.0,10.0,0.0,27.0,9.0,-45.0,84.14973293629666,0.7078015804290771,2.118628549713216e-11,2.1556764128738912,0.0,0.7325154116205693,0.9307770392868643,0.3663023081211106
